Site Name,Longitude,Latitude,Address,City,State,Start Month,End Month
Faison,-78.409491,35.432589,190 Robert Hobbs Rd,Four Oaks,NC,9,8
Four Oaks,-79.4465891,34.7571929,1667 NC HWY 96 S,Laurinburg,NC,9,8
NC Solar I,-79.5222,34.7054389,1500 Stewartsville Rd.,Laurinburg,NC,9,8
NC Solar II,-78.3095916,35.4869691,9240 McColl road,Smithfield,NC,9,8
Nitro,-78.1911105,35.5017155,1975 Yelverton Grove Rd,Princeton,NC,9,8
Princeton,-78.147307,36.1382819,4250 Bizzell Grove Church Rd,Louisburg,NC,9,8
Sarah,-76.5540979,35.6429368,171 Brewer Rd,Pantego,NC,9,8
S. Robeson Solar,-121.859212,42.6092047,1558 Hyde Park Canal Rd,Chiloquin,OR,9,8
Chiloquin,-79.2015107,35.528411,42433 Cattle Dr,Sanford,NC,10,9
Cotten Farm,-81.504169,35.2627518,1141 Cotten Rd.,Shelby,NC,10,9
County Home,-121.575658,42.244756,230 Victory Lane,Dairy,OR,10,9
Dairy,-76.527675,36.1071393,977 Mitchell Rd,Edenton,NC,10,9
Davis Lane,-81.004359,35.4274536,132 Davis Lane,Stanley,NC,10,9
Freemont,-77.6436128,36.3530281,857 NC HWY 16,Halifax,NC,10,9
Gauss,-79.0373394,34.5645517,12350 HWY NC-903,Lumberton,NC,10,9
Jersey,-81.564248,35.232396,1253 Wire Grass Road,Shelby,NC,10,9
Lakeview,-81.0912674,35.3755432,2239 S Lafayette St,Stanley,NC,10,9
Mariposa,-121.6134574,42.030549,220 Mariposa Road,Merrill,OR,10,9
Merrill,-80.6029,34.972356,21439 Hwy-39 ,Monroe,NC,10,9
Monroe Moore,-77.9339112,35.9933949,2003 New Town Rd.,Nashville,NC,10,9
Red Oak,-77.5692183,36.4367492,1776 Red Oak Rd.,Garysburg,NC,10,9
Schell,-79.319978,35.243129,193 Hilltop Drive,Lakeview ,NC,10,9
Sedberry Farm,-79.4520941,35.7485463,347 Airport Rd.,Siler City,NC,10,9
Siler 421,-81.1797692,35.6591386,139 Pondarosa Road,Newton,NC,10,9
Sonne Two,-80.4150665,35.9055563,2339 Mt Olive Church Rd.,Advance,NC,10,9
Tiburon,-121.2347519,44.1929935,3030 NC Highway 801 S,Redmond,OR,10,9
Tumbleweed,-121.4188952,42.0223371,9018 The Dalles-California Hwy,Malin,OR,10,9
Turkey Hill,-121.4188952,42.0223371,22330 Drazil Rd,Malin,OR,10,9